tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
77338,The Intouchables,8.272,18782,26.6132,2011-11-02,"[18, 35]",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2026-09-09T10:51:53.730806,dvdJ--DV0Uo,Official Trailer,Trailer,https://www.youtube.com/watch?v=dvdJ--DV0Uo
599,Sunset Boulevard,8.272,3015,11.4039,1950-08-10,[18],A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,2026-09-09T10:51:53.730810,ZQWqIA1-kvA,75th Anniversary Trailer,Trailer,https://www.youtube.com/watch?v=ZQWqIA1-kvA
1356039,Counterattack,8.27,856,12.9465,2025-02-27,"[28, 12, 53]","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2026-09-09T10:51:53.730813,pEO34SeTsY0,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=pEO34SeTsY0
335,Once Upon a Time in the West,8.267,5038,14.9478,1968-12-21,"[18, 37]","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",2026-09-09T10:51:53.730817,Yw-Av9BpC-w,Trailer,Trailer,https://www.youtube.com/watch?v=Yw-Av9BpC-w
18491,Neon Genesis Evangelion: The End of Evangelion,8.263,1951,14.7303,1997-07-19,"[16, 878, 18, 14, 28]","SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",2026-09-09T10:51:53.730821,J8t48KMGCo4,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=J8t48KMGCo4
28,Apocalypse Now,8.261,9355,23.9016,1979-05-19,"[18, 10752]","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",2026-09-09T10:51:53.730824,9l-ViOOFH-s,Final Cut Official Trailer,Trailer,https://www.youtube.com/watch?v=9l-ViOOFH-s
92321,Hotarubi no Mori e,8.261,1243,0.0085,2011-09-17,"[10749, 16, 14]","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2026-09-09T10:51:53.730828,qXLSRH31Yao,映画『蛍火の杜へ』予告編,Trailer,https://www.youtube.com/watch?v=qXLSRH31Yao
603,The Matrix,8.3,28672,45.9645,1999-03-31,"[28, 878]","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",2026-09-09T10:51:53.730831,FVI84Dfx2-I,Official 25th Anniversary Trailer #3,Trailer,https://www.youtube.com/watch?v=FVI84Dfx2-I
1139087,Once Upon a Studio,8.256,450,7.1093,2023-09-24,"[16, 10751, 14, 18, 35]","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2026-09-09T10:51:53.730835,JuQrVla3TTk,Official Trailer,Trailer,https://www.youtube.com/watch?v=JuQrVla3TTk
92060,Michael Jackson's Thriller,8.3,797,5.1903,1983-11-21,"[27, 10402, 53]","A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry.",2026-09-09T10:51:53.730838,,,,
652837,"Josee, the Tiger and the Fish",8.252,627,6.4816,2020-12-25,"[16, 18, 10749]","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2026-09-09T10:51:53.730842,w6IsHL91aXo,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=w6IsHL91aXo
630566,Clouds,8.251,1065,4.3274,2020-10-09,"[10402, 18]","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2026-09-09T10:51:53.730857,OWEgUhWU4g4,Official Trailer,Trailer,https://www.youtube.com/watch?v=OWEgUhWU4g4
8587,The Lion King,8.251,20109,36.1782,1994-06-15,"[16, 10751, 18]","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",2026-09-09T10:51:53.730861,_YZ9qZSIjo0,Official Blu-ray Trailer,Trailer,https://www.youtube.com/watch?v=_YZ9qZSIjo0
637920,Miracle in Cell No. 7,8.25,4595,6.1594,2019-10-10,[18],"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2026-09-09T10:51:53.730864,bDAkHkR6fwA,Miracle in Cell No. 7 Trailer (English Subtitles),Trailer,https://www.youtube.com/watch?v=bDAkHkR6fwA
975,Paths of Glory,8.25,3363,7.8882,1957-10-25,"[10752, 18]",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,2026-09-09T10:51:53.730867,FESvZ0HG2p4,Official Trailer,Trailer,https://www.youtube.com/watch?v=FESvZ0HG2p4
901,City Lights,8.2,2531,5.8591,1931-02-06,"[35, 18, 10749]",A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,2026-09-09T10:51:53.730871,7vl7F8S4cpQ,City Lights (1931) Trailer #1 | Movieclips Classic Trailers,Trailer,https://www.youtube.com/watch?v=7vl7F8S4cpQ
1317149,I Swear,8.246,544,16.162,2025-09-22,"[18, 36]","Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life.",2026-09-09T10:51:53.730874,10ynpduiRpM,Official US Trailer,Trailer,https://www.youtube.com/watch?v=10ynpduiRpM
29259,Le Trou,8.246,598,4.754,1960-03-18,"[18, 53, 80]","Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",2026-09-09T10:51:53.730877,g2Sbo6JpDsY,LE TROU - Trailer,Trailer,https://www.youtube.com/watch?v=g2Sbo6JpDsY
